Sr.#,Sheet,Assignment_1,Assignment_2,Assignment_3,Assignment_4,Assignment_5,Assignment_6,Quiz_1,Quiz_2,Quiz_3,Quiz_4,Quiz_5,Quiz_6,Quiz_7,Quiz_8,Midterm_1,Midterm_2,Midterm_3,Midterm_4,Midterm_5,Midterm_6,Midterm_7,Midterm_8,Final_1,Final_2,Final_3,Final_4,Final_5,Final_6,Student_ID,Assignment_Mean,Assignment_Max,Assignment_Min,Assignment_Std,Assignment_Sum,Quiz_Mean,Quiz_Max,Quiz_Min,Quiz_Std,Quiz_Sum,Overall_Mean,Overall_Std,Assignment_CV,Quiz_CV
,2,0.0,60.0,98.0,46.0,114.0,73.0,2.0,8.0,2.0,10.0,10.0,2.0,5.0,2.0,14.0,5.25,24.0,9.0,0.0,0.0,0.0,0.0,55.75,25.08,0.0,0.0,0.0,0.0,45,65.16666666666667,114.0,0.0,40.409982265112006,391.0,5.125,10.0,2.0,3.6815175442433286,41.0,30.857142857142858,39.82627107992749,0.6200068879217306,0.7169459677202198
,2,60.0,0.0,38.0,24.0,50.0,48.0,1.0,7.0,1.0,2.0,0.0,1.5,6.0,2.0,14.0,5.25,10.0,3.75,0.0,0.0,0.0,0.0,36.25,16.31,0.0,0.0,0.0,0.0,46,36.666666666666664,60.0,0.0,21.713283184877103,220.0,2.5625,7.0,0.0,2.5275270240183105,20.5,17.178571428571427,22.170325925623008,0.5920189907718924,0.9825177935931237
,2,90.0,54.0,30.3,20.0,62.0,24.0,4.0,5.0,0.0,2.0,2.0,1.0,6.0,2.0,12.0,4.5,6.5,2.43,0.0,0.0,0.0,0.0,36.75,16.53,0.0,0.0,0.0,0.0,47,46.71666666666667,90.0,20.0,27.053311565622913,280.3,2.75,6.0,0.0,2.052872551885702,22.0,21.592857142857145,28.170591984323877,0.5789694299962101,0.7437944028571384
,2,0.0,0.0,46.0,17.0,106.0,64.0,2.0,0.0,0.0,5.0,0.0,1.5,9.0,2.0,9.0,3.37,11.5,4.31,0.0,0.0,0.0,0.0,37.25,16.76,0.0,0.0,0.0,0.0,48,38.833333333333336,106.0,0.0,41.68652859937688,233.0,2.4375,9.0,0.0,3.1332035180808613,19.5,18.035714285714285,31.98465033641696,1.0731964798603848,1.2801648694916696
,2,0.0,70.0,71.0,24.0,75.0,70.0,2.0,0.0,1.0,2.0,7.0,0.0,6.0,2.0,10.0,3.75,15.0,5.62,0.0,0.0,0.0,0.0,48.0,21.6,0.0,0.0,0.0,0.0,49,51.666666666666664,75.0,0.0,31.702786418021155,310.0,2.5,7.0,0.0,2.6186146828319083,20.0,23.571428571428573,32.059354294841896,0.6134835790109235,1.0432727820047445
,2,82.0,60.0,52.0,38.0,22.0,0.0,3.5,8.0,2.0,10.0,2.0,5.0,0.0,2.0,22.25,8.34,19.5,7.31,0.0,0.0,0.0,0.0,44.0,19.8,0.0,0.0,0.0,0.0,50,42.333333333333336,82.0,0.0,28.994252303976847,254.0,4.0625,10.0,0.0,3.4062704783132784,32.5,20.464285714285715,26.75563512587603,0.6847418476889754,0.836407729481468
,2,97.0,0.0,98.0,48.0,116.0,77.0,5.0,6.0,2.0,10.0,2.0,0.0,10.0,2.0,32.0,12.0,24.5,9.18,0.0,0.0,0.0,0.0,57.25,25.76,0.0,0.0,0.0,0.0,51,72.66666666666667,116.0,0.0,42.471951528822714,436.0,4.625,10.0,0.0,3.814914340921881,37.0,33.785714285714285,43.847951572939614,0.5843959757210848,0.8230667402204705
,2,127.0,68.0,98.0,47.0,118.0,76.0,5.0,10.0,4.0,10.0,4.0,5.0,12.0,2.0,35.25,13.21,32.0,12.0,0.0,0.0,0.0,0.0,76.25,34.31,0.0,0.0,0.0,0.0,52,89.0,127.0,47.0,30.789608636681304,534.0,6.5,12.0,2.0,3.625307868699863,52.0,41.857142857142854,46.54833243787851,0.34591179234559377,0.5568829291397639
,2,76.0,30.0,61.1,45.0,97.0,68.0,1.5,5.0,2.0,2.0,3.0,1.5,12.0,2.0,12.75,4.78,11.0,4.12,0.0,0.0,0.0,0.0,51.0,22.95,0.0,0.0,0.0,0.0,53,62.85,97.0,30.0,23.522223534351507,377.1,3.625,12.0,1.5,3.573213839508789,29.0,29.00714285714286,33.83433541163846,0.3742001834927061,0.9830024317768333
,2,124.0,57.0,74.0,25.0,59.0,37.0,2.0,5.0,0.0,8.0,2.0,1.5,8.0,2.0,19.0,7.12,19.5,7.31,0.0,0.0,0.0,0.0,37.75,16.98,0.0,0.0,0.0,0.0,54,62.666666666666664,124.0,25.0,34.67948480970654,376.0,3.5625,8.0,0.0,3.0640484423623033,28.5,28.892857142857142,37.268350447195076,0.5533077404090816,0.8576762609831501
